# word	phonetic_uk	phonetic_us	part_of_speech	meaning
# 001-050: people, home, and everyday objects
centre	/ˈsentə/	/ˈsentər/	n.	中心

# 151-200: common actions
be	/biː/	/biː/	v.	是或存在
have	/hæv/	/hæv/	v.	拥有
do	/duː/	/duː/	v.	做
say	/seɪ/	/seɪ/	v.	说
tell	/tel/	/tel/	v.	告诉
speak	/spiːk/	/spiːk/	v.	说话
ask	/ɑːsk/	/æsk/	v.	询问
know	/nəʊ/	/noʊ/	v.	知道
think	/θɪŋk/	/θɪŋk/	v.	思考
understand	/ˌʌndəˈstænd/	/ˌʌndərˈstænd/	v.	理解
learn	/lɜːn/	/lɜːrn/	v.	学习
teach	/tiːtʃ/	/tiːtʃ/	v.	教授
read	/riːd/	/riːd/	v.	阅读
write	/raɪt/	/raɪt/	v.	书写
listen	/ˈlɪsən/	/ˈlɪsən/	v.	听
hear	/hɪə/	/hɪr/	v.	听见
see	/siː/	/siː/	v.	看见
look	/lʊk/	/lʊk/	v.	看
watch	/wɒtʃ/	/wɑːtʃ/	v.	观看
find	/faɪnd/	/faɪnd/	v.	找到
give	/ɡɪv/	/ɡɪv/	v.	给予
take	/teɪk/	/teɪk/	v.	拿取
bring	/brɪŋ/	/brɪŋ/	v.	带来
buy	/baɪ/	/baɪ/	v.	购买
pay	/peɪ/	/peɪ/	v.	支付
use	/juːz/	/juːz/	v.	使用
make	/meɪk/	/meɪk/	v.	制作
open	/ˈəʊpən/	/ˈoʊpən/	v.	打开
close	/kləʊz/	/kloʊz/	v.	关闭
start	/stɑːt/	/stɑːrt/	v.	开始
finish	/ˈfɪnɪʃ/	/ˈfɪnɪʃ/	v.	完成
help	/help/	/help/	v.	帮助
try	/traɪ/	/traɪ/	v.	尝试
need	/niːd/	/niːd/	v.	需要
want	/wɒnt/	/wɑːnt/	v.	想要
like	/laɪk/	/laɪk/	v.	喜欢
love	/lʌv/	/lʌv/	v.	爱
live	/lɪv/	/lɪv/	v.	居住
go	/ɡəʊ/	/ɡoʊ/	v.	去
come	/kʌm/	/kʌm/	v.	来
walk	/wɔːk/	/wɔːk/	v.	步行
run	/rʌn/	/rʌn/	v.	跑
sit	/sɪt/	/sɪt/	v.	坐
stand	/stænd/	/stænd/	v.	站立
sleep	/sliːp/	/sliːp/	v.	睡觉
wake	/weɪk/	/weɪk/	v.	醒来
eat	/iːt/	/iːt/	v.	吃
drink	/drɪŋk/	/drɪŋk/	v.	喝
cook	/kʊk/	/kʊk/	v.	烹饪
play	/pleɪ/	/pleɪ/	v.	玩耍

# 201-250: qualities, colours, and quantities
good	/ɡʊd/	/ɡʊd/	adj.	好的
bad	/bæd/	/bæd/	adj.	坏的
big	/bɪɡ/	/bɪɡ/	adj.	大的
small	/smɔːl/	/smɔːl/	adj.	小的
long	/lɒŋ/	/lɔːŋ/	adj.	长的
short	/ʃɔːt/	/ʃɔːrt/	adj.	短的
high	/haɪ/	/haɪ/	adj.	高的
low	/ləʊ/	/loʊ/	adj.	低的
old	/əʊld/	/oʊld/	adj.	年老的或旧的
young	/jʌŋ/	/jʌŋ/	adj.	年轻的
new	/njuː/	/nuː/	adj.	新的
early	/ˈɜːli/	/ˈɜːrli/	adj.	早的
late	/leɪt/	/leɪt/	adj.	迟的
fast	/fɑːst/	/fæst/	adj.	快速的
slow	/sləʊ/	/sloʊ/	adj.	缓慢的
hot	/hɒt/	/hɑːt/	adj.	热的
cold	/kəʊld/	/koʊld/	adj.	冷的
warm	/wɔːm/	/wɔːrm/	adj.	温暖的
cool	/kuːl/	/kuːl/	adj.	凉爽的
easy	/ˈiːzi/	/ˈiːzi/	adj.	容易的
difficult	/ˈdɪfɪkəlt/	/ˈdɪfɪkəlt/	adj.	困难的
happy	/ˈhæpi/	/ˈhæpi/	adj.	快乐的
sad	/sæd/	/sæd/	adj.	悲伤的
angry	/ˈæŋɡri/	/ˈæŋɡri/	adj.	生气的
tired	/ˈtaɪəd/	/ˈtaɪərd/	adj.	疲倦的
busy	/ˈbɪzi/	/ˈbɪzi/	adj.	忙碌的
free	/friː/	/friː/	adj.	空闲的或免费的
clean	/kliːn/	/kliːn/	adj.	干净的
dirty	/ˈdɜːti/	/ˈdɜːrti/	adj.	脏的
strong	/strɒŋ/	/strɔːŋ/	adj.	强壮的
weak	/wiːk/	/wiːk/	adj.	虚弱的
beautiful	/ˈbjuːtɪfəl/	/ˈbjuːtɪfəl/	adj.	美丽的
important	/ɪmˈpɔːtənt/	/ɪmˈpɔːrtənt/	adj.	重要的
different	/ˈdɪfrənt/	/ˈdɪfrənt/	adj.	不同的
same	/seɪm/	/seɪm/	adj.	相同的
red	/red/	/red/	adj.	红色的
blue	/bluː/	/bluː/	adj.	蓝色的
green	/ɡriːn/	/ɡriːn/	adj.	绿色的
yellow	/ˈjeləʊ/	/ˈjeloʊ/	adj.	黄色的
black	/blæk/	/blæk/	adj.	黑色的
white	/waɪt/	/waɪt/	adj.	白色的
one	/wʌn/	/wʌn/	num.	一
two	/tuː/	/tuː/	num.	二
three	/θriː/	/θriː/	num.	三
four	/fɔː/	/fɔːr/	num.	四
five	/faɪv/	/faɪv/	num.	五
ten	/ten/	/ten/	num.	十
hundred	/ˈhʌndrəd/	/ˈhʌndrəd/	num.	一百
many	/ˈmeni/	/ˈmeni/	adj.	许多的
few	/fjuː/	/fjuː/	adj.	少数的

# 251-300: useful function words and concepts
all	/ɔːl/	/ɔːl/	det.	全部
some	/sʌm/	/sʌm/	det.	一些
more	/mɔː/	/mɔːr/	det.	更多
most	/məʊst/	/moʊst/	det.	大多数
first	/fɜːst/	/fɜːrst/	adj.	第一的
last	/lɑːst/	/læst/	adj.	最后的
next	/nekst/	/nekst/	adj.	下一个的
other	/ˈʌðə/	/ˈʌðər/	adj.	其他的
each	/iːtʃ/	/iːtʃ/	det.	每个
every	/ˈevri/	/ˈevri/	det.	每一个
this	/ðɪs/	/ðɪs/	pron.	这个
that	/ðæt/	/ðæt/	pron.	那个
these	/ðiːz/	/ðiːz/	pron.	这些
those	/ðəʊz/	/ðoʊz/	pron.	那些
who	/huː/	/huː/	pron.	谁
what	/wɒt/	/wʌt/	pron.	什么
when	/wen/	/wen/	adv.	什么时候
where	/weə/	/wer/	adv.	在哪里
why	/waɪ/	/waɪ/	adv.	为什么
how	/haʊ/	/haʊ/	adv.	如何
here	/hɪə/	/hɪr/	adv.	这里
there	/ðeə/	/ðer/	adv.	那里
now	/naʊ/	/naʊ/	adv.	现在
always	/ˈɔːlweɪz/	/ˈɔːlweɪz/	adv.	总是
often	/ˈɒfən/	/ˈɔːfən/	adv.	经常
sometimes	/ˈsʌmtaɪmz/	/ˈsʌmtaɪmz/	adv.	有时
never	/ˈnevə/	/ˈnevər/	adv.	从不
again	/əˈɡen/	/əˈɡen/	adv.	再次
together	/təˈɡeðə/	/təˈɡeðər/	adv.	一起
very	/ˈveri/	/ˈveri/	adv.	非常
well	/wel/	/wel/	adv.	好地
only	/ˈəʊnli/	/ˈoʊnli/	adv.	仅仅
also	/ˈɔːlsəʊ/	/ˈɔːlsoʊ/	adv.	也
because	/bɪˈkɒz/	/bɪˈkɔːz/	conj.	因为
but	/bʌt/	/bʌt/	conj.	但是
and	/ænd/	/ænd/	conj.	和
or	/ɔː/	/ɔːr/	conj.	或者
if	/ɪf/	/ɪf/	conj.	如果
with	/wɪð/	/wɪð/	prep.	和或带有
without	/wɪˈðaʊt/	/wɪˈðaʊt/	prep.	没有
before	/bɪˈfɔː/	/bɪˈfɔːr/	prep.	在……之前
after	/ˈɑːftə/	/ˈæftər/	prep.	在……之后
between	/bɪˈtwiːn/	/bɪˈtwiːn/	prep.	在……之间
under	/ˈʌndə/	/ˈʌndər/	prep.	在……下面
above	/əˈbʌv/	/əˈbʌv/	prep.	在……上方
inside	/ˌɪnˈsaɪd/	/ˌɪnˈsaɪd/	prep.	在……里面
outside	/ˌaʊtˈsaɪd/	/ˌaʊtˈsaɪd/	prep.	在……外面
life	/laɪf/	/laɪf/	n.	生活或生命
idea	/aɪˈdɪə/	/aɪˈdiːə/	n.	想法
change	/tʃeɪndʒ/	/tʃeɪndʒ/	n.	变化
